FIRST,LAST,NICKNAME,URL
David,Branch,,http://ufcstats.com/fighter-details/d2c55d1d2e67773b
Billy,Brand,,http://ufcstats.com/fighter-details/edae6db2b3453632
Bruna,Brasil,,http://ufcstats.com/fighter-details/7138a15258dabf20
Michael,Bravo,,http://ufcstats.com/fighter-details/dc63542668295c23
Roman,Bravo-Young,,http://ufcstats.com/fighter-details/37ce890a4670b287
Tom,Breese,,http://ufcstats.com/fighter-details/1588b787bda7b540
Elves,Brener,,http://ufcstats.com/fighter-details/48a9a128784d53d1
Mack,Brewer,,http://ufcstats.com/fighter-details/106a925d947a0de9
Aaron,Brink,,http://ufcstats.com/fighter-details/cf1a88371c8cb690
Kaik,Brito,,http://ufcstats.com/fighter-details/b07f14fc0e53f8bd
Icaro,Brito,,http://ufcstats.com/fighter-details/06dd61c8d545c63f
Drew,Brokenshire,,http://ufcstats.com/fighter-details/aa571d75f80fde7d
Jonathan,Brookins,,http://ufcstats.com/fighter-details/b0a6124751a56bc4
Mike,Brown,,http://ufcstats.com/fighter-details/e0b74df14f52cd15
Dominic,Brown,,http://ufcstats.com/fighter-details/52b3ec072ad497a4
Terrell,Brown,,http://ufcstats.com/fighter-details/85df85a4e276c90e
Chris,Brown,,http://ufcstats.com/fighter-details/9e2624ac992660c6
Frederick,Brown,,http://ufcstats.com/fighter-details/880c6b788266a3ef
Humberto,Brown Morrison,,http://ufcstats.com/fighter-details/e9e7e1c8ff289e1b
Junie,Browning,,http://ufcstats.com/fighter-details/d74cba8566291bfa
Jules,Bruchez,,http://ufcstats.com/fighter-details/d1dcd4e96464a53d
Cody,Brundage,,http://ufcstats.com/fighter-details/f14f644d41ade29f
Robert,Bryczek,,http://ufcstats.com/fighter-details/f96856f9d69fd7e4
Justin,Buchholz,,http://ufcstats.com/fighter-details/231926533134ec1f
Zak,Bucia,,http://ufcstats.com/fighter-details/6bbb8dc6e128779e
Courtney,Buck,,http://ufcstats.com/fighter-details/3feed7d02711d8b7
Julia,Budd,,http://ufcstats.com/fighter-details/dcdc4503b9d49977
Mike,Budnik,,http://ufcstats.com/fighter-details/b98209144b63ae26
Francisco,Bueno,,http://ufcstats.com/fighter-details/a72d260b436924c4
Lee Kwan,Bum,,http://ufcstats.com/fighter-details/c0342805a1948cbb
Josh,Bumgarner,,http://ufcstats.com/fighter-details/9900ab86a4c458bd
Justin,Burlinson,,http://ufcstats.com/fighter-details/dadd80ef954e54ed
Mads,Burnell,,http://ufcstats.com/fighter-details/69f01b25dfabaf6b
Derrick,Burnsed,,http://ufcstats.com/fighter-details/2213330f082f82d5
Martin,Buschkamp,,http://ufcstats.com/fighter-details/8fc30d8cebb17116
George,Bush,,http://ufcstats.com/fighter-details/f0c779dc2ca3816c
Dakota,Bush,,http://ufcstats.com/fighter-details/3033c1c080672475
Murilo,Bustamante,,http://ufcstats.com/fighter-details/85d905f7c4f5a1af
Nick,Bustamante,,http://ufcstats.com/fighter-details/51b1ca2a4b064101
Eduardo,Bustillos,,http://ufcstats.com/fighter-details/f273f1b8df04c8a1
Jason,Butcher,,http://ufcstats.com/fighter-details/30e39145fec48d25
Todd,Butler,,http://ufcstats.com/fighter-details/3fed746acfd026dd
Goldman,Butler,,http://ufcstats.com/fighter-details/e2d5072048b825b1
Ian,Butler,,http://ufcstats.com/fighter-details/6b8fd98eb52363d1
Jesse,Butler,,http://ufcstats.com/fighter-details/a75a48bfe776b2c2
Michael,Byrnes,,http://ufcstats.com/fighter-details/87f0b37f153cf497
Yan,Cabral,,http://ufcstats.com/fighter-details/7cdd3e5d3aa9cb39
Alvin,Cacdac,,http://ufcstats.com/fighter-details/ce7871949b0ed2bf
Ricky,Calatayud,,http://ufcstats.com/fighter-details/800feaa25700a85f
Nicolle,Caliari,,http://ufcstats.com/fighter-details/fc0a4053eb8a3a59
Taylor,Callens,,http://ufcstats.com/fighter-details/53d471e9bf5f2fc8
Cynthia,Calvillo,,http://ufcstats.com/fighter-details/98215d037be5bcb7
Joe,Camacho,,http://ufcstats.com/fighter-details/dfb965c9824425db
Lucas,Camacho,,http://ufcstats.com/fighter-details/71d25689f70e4036
Chris,Camozzi,,http://ufcstats.com/fighter-details/6c2030e0a143a94b
Thomas,Campbell,,http://ufcstats.com/fighter-details/d060014a5a039829
John,Campetella,,http://ufcstats.com/fighter-details/31bbd46d57dfbcb7
Will,Campuzano,,http://ufcstats.com/fighter-details/901cddcbfa079097
Aleksa,Camur,,http://ufcstats.com/fighter-details/c2a670b22d2e196f
Asbel,Cancio,,http://ufcstats.com/fighter-details/2a7afe14b3a0a058
Jose,Canseco,,http://ufcstats.com/fighter-details/03da33a102d9a45f
Cody,Canterbury,,http://ufcstats.com/fighter-details/23100e8f71f25a4a
Paul,Capaldo,,http://ufcstats.com/fighter-details/83b8fe74224dd642
Frank,Caracci,,http://ufcstats.com/fighter-details/44f9c777fed7ca03
Dos,Caras Jr.,,http://ufcstats.com/fighter-details/155a02a8b4311057
Remo,Cardarelli,,http://ufcstats.com/fighter-details/e5512a6aed150d8f
Phil,Cardella,,http://ufcstats.com/fighter-details/f6a7b02c42e9fc5b
Ronald,Carillo,,http://ufcstats.com/fighter-details/cbd022eaf2ac546a
Rafael,Carino,,http://ufcstats.com/fighter-details/08a7080ff5904661
Don,Carlo-Clauss,,http://ufcstats.com/fighter-details/f59a6de8a5dfe297
Clayton,Carpenter,,http://ufcstats.com/fighter-details/b62d5280966b2460
Gabriel,Carrasco,,http://ufcstats.com/fighter-details/89ed44801968b8e3
Cody,Carrillo,,http://ufcstats.com/fighter-details/9346efb4bbaedd08
Jonny,Carson,,http://ufcstats.com/fighter-details/0d49ddc07bd8c747
Scott,Carson,,http://ufcstats.com/fighter-details/1e3302f9ab6f549a
Jack,Cartwright,,http://ufcstats.com/fighter-details/1f592bfefb0d62a3
Bruno,Carvalho,,http://ufcstats.com/fighter-details/456c02115efc4a01
Rafael,Carvalho,,http://ufcstats.com/fighter-details/620d8710e89cfeae
Bendy,Casimir,,http://ufcstats.com/fighter-details/ec7ac09293d26c05
Dwayne,Cason,,http://ufcstats.com/fighter-details/31c01fbc2586a5eb
Joe,Cason,,http://ufcstats.com/fighter-details/2b1c6f28039efe36
Eric,Castile,,http://ufcstats.com/fighter-details/a0a69dc9914ef6e1
Gil,Castillo,,http://ufcstats.com/fighter-details/31ceaf0e670c1578
Raul,Castillo,,http://ufcstats.com/fighter-details/feeae92f951f49a9
Jenna,Castillo,,http://ufcstats.com/fighter-details/e680418329c84ec4
Jacqueline,Cavalcanti,,http://ufcstats.com/fighter-details/e3964ece586e0635
Jared,Chaffee,,http://ufcstats.com/fighter-details/fdf59144e535bc38
Ansar,Chalangov,,http://ufcstats.com/fighter-details/7342fcc41a4817fa
Chelsea,Chandler,,http://ufcstats.com/fighter-details/af9efbfd63d39734
Donnie,Chappell,,http://ufcstats.com/fighter-details/8788beb528894f33
Emilio,Chavez,,http://ufcstats.com/fighter-details/84e8920e59ff14a7
Albert,Cheng,,http://ufcstats.com/fighter-details/d8d7b24d276c8cb0
Ion,Cherdivara,,http://ufcstats.com/fighter-details/c713a845360d604b
Macy,Chiasson,,http://ufcstats.com/fighter-details/9cdd2da1a9104a0b
Sako,Chivitchian,,http://ufcstats.com/fighter-details/9f7787e56a6bc0f4
Mu Bae,Choi,,http://ufcstats.com/fighter-details/371a1c91b24dec2b
SeungGuk,Choi,,http://ufcstats.com/fighter-details/adccbc19b22e19af
DongHun,Choi,,http://ufcstats.com/fighter-details/3be16d817b36098b
John,Cholish,,http://ufcstats.com/fighter-details/03c9994c5b8958ec
Joachim,Christensen,,http://ufcstats.com/fighter-details/2d447cc91bdaa545
Kevin,Christian,,http://ufcstats.com/fighter-details/7e9b36a9847db116
Anthony,Christodoulou,,http://ufcstats.com/fighter-details/4f11e9ce318ffbcb
Murad,Chunkaiev,,http://ufcstats.com/fighter-details/d4a12dfa4067742f
Cameron,Church,,http://ufcstats.com/fighter-details/f197ce0cbe69996d
Mike,Ciesnolevicz,,http://ufcstats.com/fighter-details/51b0bb73a1da34bc
Branko,Cikatic,,http://ufcstats.com/fighter-details/4e5bbc4566049cbf
Nikolajus,Cilkinas,,http://ufcstats.com/fighter-details/3f3550bf126a5721
Misha,Cirkunov,,http://ufcstats.com/fighter-details/67f272324a030d00
Laverne,Clark,,http://ufcstats.com/fighter-details/1c2f2571b18791b6
Logan,Clark,,http://ufcstats.com/fighter-details/6776260cb0aef647
Mychal,Clark,,http://ufcstats.com/fighter-details/69108cb8b32efe04
Dominic,Clark,,http://ufcstats.com/fighter-details/8a64b3f87ad29d1e
Jessica-Rose,Clark,,http://ufcstats.com/fighter-details/6c8072b61c276e67
John,Clarke,,http://ufcstats.com/fighter-details/a77c71a574132188
RJ,Clifford,,http://ufcstats.com/fighter-details/8e32bfcff3ec1717
Mark,Climaco,,http://ufcstats.com/fighter-details/60098849c703e389
Brian,Cobb,,http://ufcstats.com/fighter-details/3138fab619faf4d1
Darryl,Cobb,,http://ufcstats.com/fighter-details/dc6d8256ee3dfba5
Dave,Cochran,,http://ufcstats.com/fighter-details/6dbb1107de9a4a08
Dakota,Cochrane,,http://ufcstats.com/fighter-details/8fa7e0bc052185ce
Marloes,Coenen,,http://ufcstats.com/fighter-details/0b77a05bcbd2de74
Marc,Cofer,,http://ufcstats.com/fighter-details/e90d9d0681270953
Chris,Coggins,,http://ufcstats.com/fighter-details/a0c29b13f7a5df32
Wayne,Cole,,http://ufcstats.com/fighter-details/2eab7a6c8b0ed8cc
Devin,Cole,,http://ufcstats.com/fighter-details/1174782eacde9b0c
Coltin,Cole,,http://ufcstats.com/fighter-details/cecd72feb0d640e3
