EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
UFC 17: Redemption ,Dan Henderson  vs. Allan Goes ,W/L,Middleweight Bout,Decision - Unanimous ,2,3:00,1 Rnd + OT (12-3),Joe Hamilton,,http://ufcstats.com/fight-details/21aa163b80e504f9
UFC 17: Redemption ,Andre Roberts  vs. Harry Moskowitz ,W/L,Heavyweight Bout,Decision - Unanimous ,2,3:00,1 Rnd + OT (12-3),John McCarthy,,http://ufcstats.com/fight-details/8b258bbb37f74a66
UFC 17: Redemption ,Chuck Liddell  vs. Noe Hernandez ,W/L,Middleweight Bout,Decision - Unanimous ,1,12:00,1 Rnd (12),Joe Hamilton,,http://ufcstats.com/fight-details/ea535b46e0f69ad3
UFC 16: Battle in the Bayou ,Tsuyoshi Kohsaka  vs. Kimo Leopoldo ,W/L,Heavyweight Bout,Decision - Unanimous ,2,3:00,1 Rnd + OT (12-3),John McCarthy,,http://ufcstats.com/fight-details/b55481006297ba05
UFC 16: Battle in the Bayou ,Pat Miletich  vs. Townsend Saunders ,W/L,Lightweight Bout,Decision - Split ,2,3:00,1 Rnd + OT (12-3),Joe Hamilton,,http://ufcstats.com/fight-details/43885ee6cc5ed241
UFC - Ultimate Japan ,Randy Couture  vs. Maurice Smith ,W/L,UFC Heavyweight Title Bout,Decision - Majority ,3,3:00,1 Rnd + 2OT (15-3-3),John McCarthy,,http://ufcstats.com/fight-details/748657d9ba9d7c71
UFC - Ultimate Japan ,David Abbott  vs. Yoji Anjo ,W/L,Heavyweight Bout,Decision - Unanimous ,2,3:00,1 Rnd + OT (12-3),John McCarthy,,http://ufcstats.com/fight-details/764e492b55c0ec40
UFC 15: Collision Course ,Dave Beneteau  vs. Carlos Barreto ,W/L,Heavyweight Bout,Decision - Unanimous ,2,3:00,1 Rnd + OT (12-3),John McCarthy,,http://ufcstats.com/fight-details/3bd789bcfb12368d
UFC 15: Collision Course ,Alex Hunter  vs. Harry Moskowitz ,W/L,Heavyweight Bout,Decision - Split ,1,12:00,1 Rnd (12),Joe Hamilton,,http://ufcstats.com/fight-details/c99e302777049f2d
UFC 14: Showdown ,Maurice Smith  vs. Mark Coleman ,W/L,UFC Heavyweight Title Bout,Decision - Unanimous ,3,3:00,1 Rnd + 2OT (15-3-3),John McCarthy,,http://ufcstats.com/fight-details/1a5171802bf3bce6
UFC 14: Showdown ,Joe Moreira  vs. Yuri Vaulin ,W/L,Lightweight Bout,Decision - Unanimous ,2,3:00,1 Rnd + OT (12-3),John McCarthy,,http://ufcstats.com/fight-details/6158150558be0edf
UFC 13: The Ultimate Force ,Guy Mezger  vs. Christophe Leninger ,W/L,Lightweight Bout,Decision - Unanimous ,2,3:00,1 Rnd + OT (12-3),John McCarthy,,http://ufcstats.com/fight-details/45e49fe8d3d1bfb5
UFC 12: Judgement Day ,Yoshiki Takahashi  vs. Wallid Ismail ,W/L,Lightweight Bout,Decision - Unanimous ,2,3:00,1 Rnd + OT (12-3),John McCarthy,,http://ufcstats.com/fight-details/e45feb9866eb2da7
UFC 11: The Proving Ground ,Scott Ferrozzo  vs. David Abbott ,W/L,Open Weight Bout,Decision - Unanimous ,2,3:00,1 Rnd + OT (15-3),John McCarthy,,http://ufcstats.com/fight-details/9f6a7aee1fce539a
