FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,UFC_URL,MMADECISIONS_URL
Brian Geraghty,"67.00""",155.00 lbs.,,,,,
Darrel Gholar,"68.00""",198.00 lbs.,,,,,
Tiki Ghosn,"72.00""",170.00 lbs.,,,,,
James Giboo,"71.00""",170.00 lbs.,,,,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45,
Lance Gibson,,,,,,,
Joseph Gigliotti,,,,,,http://ufcstats.com/fighter-details/7460ddef986d3144,
Joey Gilbert,"65.00""",154.00 lbs.,,,,http://ufcstats.com/fighter-details/d26934530dc5b248,
Jason Gilliam,"72.00""",171.00 lbs.,,,,http://ufcstats.com/fighter-details/b03a0c78ca45facf,
Bob Gilstrap,"0.00""",0.00 lbs.,,,,,
He-Man Gipson,"0.00""",0.00 lbs.,,,,,
Jason Godsey,,,,,,,
Allan Goes,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/6ebe96a116e79e52,
Ulysses Gomez,"66.00""",126.00 lbs.,,,,,
Lewis Gonzalez,"70.00""",174.00 lbs.,,,,,
Pearl Gonzalez,"64.50""",116.00 lbs.,"68.00""",,,,
Gary Goodridge,"0.00""",0.00 lbs.,,,,,
Tim Gorman,"64.00""",135.00 lbs.,"68.00""",,,,
Chase Gormley,,,,,,,
Royce Gracie,"73.00""",175.00 lbs.,,,,http://ufcstats.com/fighter-details/669a3cb6e394f515,
Renzo Gracie,"70.00""",171.00 lbs.,,,,,
Rolles Gracie,"76.00""",247.00 lbs.,,,,,
Steven Graham,,,,,,,
Neil Grove,"78.00""",263.00 lbs.,,,,,
Nandor Guelmino,"75.00""",230.00 lbs.,,,,http://ufcstats.com/fighter-details/17615148dd4be6f6,
Leonardo Guimaraes,,,,,,http://ufcstats.com/fighter-details/6db394bf6c3b017c,
Brad Gumm,"0.00""",0.00 lbs.,,,,,
Fabio Gurgel,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/501821d7fb7b95c1,
Andre Gusmao,"74.00""",206.00 lbs.,,,,http://ufcstats.com/fighter-details/20821819c401ced8,
Horacio Gutierrez,"70.00""",146.00 lbs.,"69.00""",,,http://ufcstats.com/fighter-details/90063913321e7670,
Keith Hackney,"0.00""",0.00 lbs.,,,,,
Mark Hall,"0.00""",0.00 lbs.,,,,,
Tony Halme,"0.00""",0.00 lbs.,,,,,
John Halverson,"69.00""",155.00 lbs.,,,,http://ufcstats.com/fighter-details/989b85f6540c86b1,
Frank Hamaker,"0.00""",0.00 lbs.,,,,,
James Hammortree,"75.00""",186.00 lbs.,,,,,
Gerry Harris,"80.00""",0.00 lbs.,,,,,
Collin Hart,"74.00""",184.50 lbs.,,,,http://ufcstats.com/fighter-details/047a91d3d9c79b05,
Chris Haseman,"72.00""",203.00 lbs.,,,,http://ufcstats.com/fighter-details/ee0b69e307c857e5,
Hayder Hassan,"70.00""",170.00 lbs.,"70.00""",,,,
Tommy Hayden,"69.00""",144.00 lbs.,,,,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,
Josh Haynes,"69.00""",171.00 lbs.,,,,http://ufcstats.com/fighter-details/0c1a04afca64e38f,
Chris Heatherly,"69.00""",170.00 lbs.,"68.00""",,,http://ufcstats.com/fighter-details/ee0b69e307c857e5,
Delson Heleno,"71.00""",185.00 lbs.,,,,,
Josh Hendricks,"74.00""",238.00 lbs.,,,,http://ufcstats.com/fighter-details/0c1a04afca64e38f,
Cory Hendricks,"75.00""",204.00 lbs.,,,,,
Noe Hernandez,"0.00""",0.00 lbs.,,,,,
Ramiro Hernandez,,,,,,http://ufcstats.com/fighter-details/6d35bf94f7d30241,
Paul Herrera,"0.00""",0.00 lbs.,,,,,
Jon Hess,"0.00""",0.00 lbs.,,,,,
Richie Hightower,"69.00""",170.00 lbs.,,,,http://ufcstats.com/fighter-details/210935fd21670f6d,
Branden Lee Hinkle,,,,,,,
Kwan Ho Kwak,"67.00""",136.00 lbs.,"70.00""",,,,
Bobby Hoffman,"74.00""",254.00 lbs.,,,,,
Sam Hoger,"75.00""",206.00 lbs.,,,,http://ufcstats.com/fighter-details/0e9869d712e81f8f,
